TEAM,Intials,Stadium,Conference,reigon,2015 Passing Yards,2015 Rushing Yards,2015 PTS,statdium Capacity
Arizona Cardinals,ARI,University of Phoenix Stadium,NFC,EAST,4616,1917,489,60000
Atlanta Falcons,ATL,Georgia Dome,NFC,SOUTH,4379,1611,339,71250
Baltimore Ravens,BAL,M&T Bank Stadium,AFC,NORTH,4271,1478,328,71008
Buffalo Bills,BUF,New Era Field,AFC,EAST,3343,2432,379,71000
Carolina Panthers,CAR,Bank of America Stadium,NFC ,SOUTH,3589,2282,500,75419
Chicago Bears,CHI,Soldier Field,NFC,NORTH,3663,1851,335,65000
Cincinnati Bengals,CIN,Paul Brown Stadium,AFC,NORTH,3923,1805,419,65515
Cleveland Browns,CLE,FirstEnergy Stadium,AFC,NORTH,3782,1529,278,67431
Dallas Cowboys,DAL,AT&T Stadium,NFC,EAST,3471,1890,275,80000
Denver Broncos,DEN,Sports Authority Field at Mile High,AFC,WEST,3970,1718,355,76125
Detroit Lions,DET,Ford Field,NFC,NORTH,4212,1335,358,65000
Green Bay Packers,GB,Lambeau Field,NFC,NORTH,3503,1850,368,81435
Houston Texans,HOU,NRG Stadium,AFC,SOUTH,3833,1731,339,72220
Indianapolis Colts,IND,Lucas Oil Stadium,AFC,SOUTH,3704,1438,333,67000
Kansas City Chiefs,KC,Arrowhead Stadium,AFC,WEST,3255,2044,405,76416
Los Angeles Rams,LA,Los Angeles Memorial Coliseum[E],NFC,WEST,2805,1956,280,93607
Jacksonville Jaguars,JAC,EverBank Field[D],AFC,SOUTH,4108,1473,376,67246
Miami Dolphins,MIA,Hard Rock Stadium,AFC,EAST,3811,1496,310,65326
Minnesota Vikings,MIN,U.S. Bank Stadium,NFC,NORTH,2928,2211,365,66655
New England Patriots,NE,Gillette Stadium,AFC,EAST,4587,1404,465,66829
New Orleans Saints,NO,Mercedes-Benz Superdome,NFC,SOUTH,4970,1491,408,73000
New York Giants,NYG,MetLife Stadium[B],NFC,EAST,4347,1609,420,82500
New York Jets,NYJ,MetLife Stadium[B],AFC,EAST,4057,1868,387,82500
Oakland Raiders,OAK,Oakland Alameda Coliseum,AFC ,WEST,3879,1457,359,56063
Philadelphia Eagles,PHI,Lincoln Financial Field,NFC,EAST,4087,1743,377,69596
Pittsburgh Steelers,PIT,Heinz Field,AFC,NORTH,4603,1724,423,68400
San Diego Chargers,SD,Qualcomm Stadium,AFC,WEST,4591,1358,320,70561
San Francisco 49ers,SEA,Levi's Stadium,NFC ,WEST,3316,1544,238,68500
Seattle Seahawks,SF,CenturyLink Field,NFC,WEST,3790,2268,423,68000
Tampa Bay Baccaneers,TB,Raymond James Stadium,NFC,SOUTH,3852,2162,342,65890
Tennessee Titans,TEN,Nissan Stadium,AFC,SOUTH,3503,1485,299,69143
Washington Redskins,WAS,FedExField,NFC,EAST,4095,1566,388,82000
